"latitude","longitude","latlng_geom","postcount","usercount"
"54.61985915","9.37977885","0101000020E6100000CBEC985F72C222402DB06C8B574F4B40",22,1
"45.6531191","9.18261567","0101000020E610000036C614CD7F5D22404C721B6899D34640",22,1
"38.3678","26.1358","0101000020E6100000FBCBEEC9C3223A4002BC0512142F4340",21,7
"53.55462","9.967809","0101000020E6100000878C47A984EF234090DAC4C9FDC64A40",21,1
"53.2333","-0.533333","0101000020E610000009151C5E1011E1BF12143FC6DC9D4A40",19,4
"54.40164415","13.61421522","0101000020E6100000FD35D56A7A3A2B409B70541369334B40",19,2
"51.5166","7.4583","0101000020E6100000F7065F984CD51D408A8EE4F21FC24940",18,1
"55.95188","-3.17305","0101000020E61000001895D409686209C0B6DB2E34D7F94B40",18,6
"48.2092","16.3728","0101000020E6100000E5F21FD26F5F30405F29CB10C71A4840",18,1
"50.97057","1.9089","0101000020E6100000B459F5B9DA8AFE3F473D44A33B7C4940",18,9
"48.2083","16.3731","0101000020E61000003A234A7B835F3040DFE00B93A91A4840",17,14
"40.5","-3.66666667","0101000020E6100000A5DDC75555550DC00000000000404440",17,12
"41.1194","22.5061","0101000020E61000006F8104C58F8136403A92CB7F488F4440",17,5
"53.2353","-0.54095","0101000020E6100000ACADD85F764FE1BFD95F764F1E9E4A40",17,9
"53.39507216","-2.59059082","0101000020E61000001ABE09AE87B904C04A617BB991B24A40",17,1
"41.38697548","2.16884008","0101000020E61000000AD5EED3C8590140197A9B6988B14440",17,10
"44.8206","20.4622","0101000020E610000011363CBD527634407E8CB96B09694640",17,15
"40.41901","-3.69218","0101000020E6100000EF8FF7AA95890DC03659A31EA2354440",16,16
"50.8443","4.34279","0101000020E610000057957D57045F1140A301BC05126C4940",16,1
"46.2038","6.13996","0101000020E61000001EFE9AAC518F184060764F1E161A4740",16,1
"51.50322222","-0.1275","0101000020E610000052B81E85EB51C0BFA0C2F09569C04940",15,11
"50.95","1.83333","0101000020E61000002F698CD65155FD3F9A99999999794940",15,11
"45","10","0101000020E610000000000000000024400000000000804640",15,5
"54.5143996","9.54568027","0101000020E6100000E571836763172340A98999D8D7414B40",14,1
"38.645","0.04416667","0101000020E6100000754A7286039DA63FC3F5285C8F524340",14,1
"45.4643","9.1897","0101000020E6100000371AC05B2061224033C4B12E6EBB4640",14,13
"54.38322755","13.69864556","0101000020E61000002664EFDEB4652B408E16B1990D314B40",14,11
"41.6541164","-4.7174163","0101000020E61000002478E860A2DE12C07DE31016BAD34440",14,1
"53.2342","-0.5362","0101000020E6100000B8AF03E78C28E1BF925CFE43FA9D4A40",14,5
"41.8955","12.4823","0101000020E6100000BBB88D06F0F62840B4C876BE9FF24440",14,1
"45.0695","7.7054","0101000020E6100000C364AA6054D21E4037894160E5884640",14,1
"55.86068333","-4.25411111","0101000020E61000004400ECB3350411C0FC4711DF2AEE4B40",13,1
"43.77687427","4.83394272","0101000020E6100000948C9414F55513407F60B79D70E34540",13,1
"44.80227715","10.30942813","0101000020E6100000F89F255D6D9E2440FFC98404B1664640",13,1
"38.9091033","1.4387687","0101000020E61000008D2210543205F73FC417377F5D744340",13,1
"50.112","8.6834","0101000020E61000003D2CD49AE65D214075931804560E4940",13,1
"53.0706599","8.80739","0101000020E6100000213CDA38629D2140BFD133620B894A40",13,1
"51.5114881","-0.15271366","0101000020E6100000851DAD071F8CC3BF87E52A7178C14940",13,11
"50.85","4.35","0101000020E61000006666666666661140CDCCCCCCCC6C4940",13,11
"50.8429","-0.1313","0101000020E6100000917EFB3A70CEC0BF32E6AE25E46B4940",12,7
"50.7246843","-3.5318272","0101000020E61000006BFC789E2E410CC05B368474C25C4940",12,1
"48.85293","2.33622","0101000020E6100000C616821C94B002407EE36BCF2C6D4840",12,2
"39","22","0101000020E610000000000000000036400000000000804340",12,6
"53.83288524","-1.63925702","0101000020E6100000F636AA91653AFABF818FC9FB9BEA4A40",12,1
"52.3888","13.0088","0101000020E6100000DC68006F81042A40A857CA32C4314A40",12,1
"40.41946","-3.69349","0101000020E610000007D3307C448C0DC076FD82DDB0354440",12,12
"35.5","12.6","0101000020E610000033333333333329400000000000C04140",12,11
"53.1438424","8.20974827","0101000020E6100000CD151020646B20409AE3816D69924A40",12,1
"52.42634169","13.31740052","0101000020E61000004C442A5282A22A4056BC4F5D92364A40",12,1
"46.2","6.15","0101000020E61000009A999999999918409A99999999194740",11,9
"48.1635164","8.6063987","0101000020E610000080ACF1E379362140092EFB1AEE144840",11,1
"45.65312391","9.18271","0101000020E6100000E84D452A8C5D2240C3D7749099D34640",11,1
"41.38944","2.17333","0101000020E61000005053CBD6FA6201408BE07F2BD9B14440",11,9
"46.11868","11.68823","0101000020E61000008E40BCAE5F6027403A58FFE7300F4740",11,1
